sentence,count
window on wall of building,9
plant in glass,9
bathroom has lid,9
cheese has spice,9
front windshield on bus,9
ice maker on refrigerator,9
letter of sign,9
city with building,9
person with nose,9
tail of duck,9
frame has picture,9
frond on palm tree,9
handle bar of bike,9
left ear of bear,9
ear of owl,9
dog with fur,9
giraffe has a long neck,9
drawer has pull,9
duck has leg,9
lip belonging to person,9
tip of tree,9
cow has snout,9
train has front car,9
pan with handle,9
tree has pine needles,9
tile on rooftop,9
tree with blossom,9
mountain covered snow,9
keypad on phone,9
airport has window,9
tail wing of plane,9
bird spreading wing,9
giraffe bending neck,9
drain in toilet,9
ground made of dirt,9
hair of baby,9
wall in water,9
grass near hill,9
nostril of person,9
tailight on car,9
black seat on motorcycle,9
gas burner on stove,9
pony has head,9
back wheel on bus,9
horse wearing legging,9
salad has lettuce,9
plane has right engine,9
slat of fence,9
elephant eye of elephant,9
plane tail of airplane,9
nose of polar bear,9
car in garage,9
toothbrush with bristle,9
stripe covering zebra,9
window in front of street,9
player has elbow,9
face with eye,9
tile in ceiling,9
giraffe has black tail,9
sofa has arm,9
person with finger,9
person growing beard,9
ripple on river water,9
laptop with mouse,9
hair attached to person,9
dog has back legs,9
building contains window,9
window on bulding,9
light on bicycle,9
arm in water,9
wheel of wagon,9
head belonging to animal,9
door on cupboard,9
seat has toilet seat lid,9
cement has crack,9
person wearing footwear,9
book stacked on shelf,9
bird with tail,9
motorcycle has sidecar,9
window on white building,9
wiper attached to windshield,9
body has ear,9
bear has stomach,9
pink flower on plant,9
fruit near orange,9
windshield wipers on windshield,9
sign has white letter,9
animal with nose,9
broccoli in broccoli,9
bike with seat,9
leg has part,9
pizza in slice,9
mirror attached to motorcycle,9
light attached to bus,9
passenger window near train,9
airport has runway,9
fence has fence post,9
elephant has elephants trunk,9
hull of boat,9
aircraft has nose,9
glass pane in window,9
number symbol on clock,9
ear attached to bear,9
nail on foot,9
cloud hovering in sky,9
bear has right leg,9
base on lamp,9
window along side of train,9
hoof belonging to animal,9
clock tells time,9
bus stop near road,9
lamp post near street,9
person on leg,9
leg attached to zebra,9
back wheel of bicycle,9
guy has eyebrow,9
pipe attached to toilet,9
beverage in bottle,9
sink of bathroom,9
cloth on sofa,9
tail belonging to elephant,9
light shining through tree,9
back legs of dog,9
helmet of biker,9
plane has tail fin,9
brake light on truck,9
fur on cow,9
ceramic tile on wall,9
headrest on seat,9
hair on a,9
truck has brake light,9
clock face has number,9
window has mullion,9
dress shirt has collar,9
bear on leg,9
dark clouds in sky,9
window on side airplane,9
persons hand of person,9
wheel of scooter,9
soccer ball on grass,9
beach covered in sand,9
building behind court,9
footboard on bed,9
glass part of building,9
door on garage,9
person seen hand,9
wave near boat,9
tire on black car,9
hole of doughnut,9
wing has part,9
line in middle of street,9
doorway into building,9
sign held up by pole,9
bulb in lamp,9
food has sauce,9
person has knee pad,9
dirt bike has tire,9
drawer has drawer pull,9
giraffe has long legs,9
train on window,9
motorcycle with light,9
bird has tailfeathers,9
pebble embedded in block,9
yellow line on platform,9
nose on bull,9
piece on table,9
cockpit window on airplane,9
flower growing in garden,9
clock containing roman numeral,9
male has arm,9
keyboard near computer,9
eye of people,9
skyscraper in city,9
train of track,9
cow has knee,9
wheel mounted on cart,9
jar of pickle,9
wall of bedroom,9
airplane has fuselage,9
white window on building,9
side window on car,9
reflection appearing in window,9
toilet seat in bathroom,9
hair of zebra,9
pizza slice has crust,9
back tire on motorcycle,9
elephant has elephant leg,9
tail light of truck,9
coat has collar,9
a window on train,9
dog wagging tail,9
water in beach,9
seat belt in car,9
hummingbird has beak,9
umbrella with pole,9
river has ripple,9
door attached to bus,9
building has glass window,9
window side of building,9
light behind train,9
zebra in scene,9
computer with screen,9
girl has right arm,9
leg of duck,9
cushion of couch,9
window along airplane,9
horse has left eye,9
object on pole,9
kite has line,9
ear on panda,9
house outside window,9
tire on back of motorcycle,9
headlight in front,9
pole has part,9
light mounted on bus,9
giraffe with ear,9
nostril on snout,9
ear part of dog,9
moss on ground,9
clock face has hand,9
light near truck,9
beak on face,9
paw on kitten,9
person in tent,9
kite tail on kite,9
cat eyes of cat,9
seat on cycle,9
front car of train,9
giraffe with mouth,9
giraffe with eye,8
right eye of horse,8
rock along beach,8
person on hand,8
flooring in bathroom,8
ripple on blue water,8
water reflecting light,8
person with crossed arm,8
windowsill under window,8
nose on womans face,8
track has rail,8
wood in wood,8
tusk hanging from elephant,8
foot standing on skateboard,8
human wearing shoe,8
window belonging to plane,8
person wearing black clothing,8
pigeon has beak,8
garbage on street,8
glass in building,8
light reflecting in water,8
window along building,8
yellow flower on bush,8
post part of fence,8
branch in front of giraffe,8
glass full of liquid,8
surface of tennis court,8
reflection appearing in water,8
nail of hand,8
grass near flower,8
bed has mattress,8
tree branch on tree,8
knob controlling stove,8
label of bottle,8
bird extending wing,8
guy on team,8
dog has black ear,8
muzzle of bear,8
sky of cloud,8
propeller near plane,8
trunk attached to elephant,8
giraffe has giraffe leg,8
mountain in photo,8
remote control with button,8
nail of thumb,8
sneaker has shoelace,8
leg on body,8
handle on kettle,8
wheel on aeroplane,8
windshield wipers on car,8
passenger window on train,8
hotdog with mustard,8
tail feather of bird,8
key in keyboard,8
spot in giraffe,8
fur on zebra,8
bicycle has kickstand,8
wheel of wheel,8
snow atop mountain,8
the hand of person,8
train pulls train car,8
seat in airplane,8
person on back,8
front window has wiper,8
building in park,8
moped has headlight,8
corner on building,8
part of thigh,8
elephant has brown leg,8
berry on plant,8
front legs of dog,8
knob on grill,8
crack on rock,8
twig on tree,8
part of flower,8
car has stripe,8
collar above shirt,8
frame of bed,8
truck pulling trailer,8
spot on giraffes neck,8
rear wheel of bicycle,8
forearm of person,8
sailboat has mast,8
trailer behind truck,8
hind leg of animal,8
deer has antler,8
doorway in wall,8
leg belonging to deer,8
light in front of motorcycle,8
headlight on train car,8
eye belonging to baby,8
roof on structure,8
truck with trailer,8
cushion above couch,8
pine needles on branch,8
dog has stomach,8
door in bus,8
glove on hand of person,8
tire has part,8
peak on mountain,8
hole in sand,8
stirrup on horse,8
elephant with tail,8
head belonging to cow,8
refrigerator has ice maker,8
boat has stern,8
slice of food,8
key on typewriter,8
blade on fan,8
reflection on river,8
flower in leaf,8
paper on sign,8
person has ring finger,8
parrot has eye,8
car part of train,8
elephant with mouth,8
banana has skin,8
foot on field,8
lid to toilet,8
mouse connected to computer,8
frame in window,8
mirror attached to bus,8
human in water,8
clothes in closet,8
ape has eye,8
pattern on zebra,8
foot attached to person,8
wing of seagull,8
license plate on back of bus,8
red train car,8
light on train front,8
person looking at hand,8
chair has part,8
light on school bus,8
garden has plant,8
stone cemented into wall,8
handle above cabinet,8
building with siding,8
hair on people,8
flower above grass,8
sign with white letters,8
handle to drawer,8
wiper on vehicle,8
zebra seen head,8
ear on kitten,8
eye of female,8
eye on kitten,8
handle in door,8
bottle has oil,8
headlight on front truck,8
sign with character,8
head of calf,8
leaf from branch,8
beach with water,8
flower has root,8
boy with eyeglass,8
person with blue eye,8
thumb has fingernail,8
helmet of rider,8
column near building,8
cow with ear,8
clock has handle,8
door has door knob,8
bus has back wheel,8
wheel attached to truck,8
fur of sheep,8
elephant with eye,8
tail attached to kite,8
muzzle on bear,8
seat above motorcycle,8
moss growing on tree,8
vein in leaf,8
front wheel on truck,8
headlight in front of motorcycle,8
wheel near car,8
pizza slice of pizza,8
leaf on limb,8
window framed on house,8
horse has back legs,8
horse has fur,8
tie attached to track,8
guy with hand,8
cabinet door has handle,8
plant has part,8
ripple on ocean,8
branch on pine tree,8
tomato has seed,8
mane on back of giraffe,8
lip on mouth,8
glass window near train,8
wood on table,8
lamppost has light,8
harness on head,8
ear on face,8
building has many windows,8
finger nail on person,8
case has handle,8
balcony above window,8
ear on bull,8
headlight attached to car,8
train has black windows,8
dog with nose,8
crust attached to pizza,8
small wave in water,8
train has headlamp,8
zebra has spot,8
pant has leg,8
frame of frame,8
tree has twig,8
tail light on bike,8
window has bus,8
window apart of bus,8
keypad on cellphone,8
cat has chin,8
window on balcony,8
bush of flower,8
computer monitor has screen,8
lamppost on street,8
wall near house,8
airplane has front wheel,8
leaf on stalk,8
vulture has beak,8
brown dog has leg,8
eyeball on face,8
license plate on black car,8
window covered by blind,8
leg part of person,8
car with stripe,8
skater wearing shoe,8
letter part of sign,8
spoke on front wheel,8
drawer on furniture,8
wing of airplane model,8
ear of puppy,8
brown cow has horn,8
head of kitten,8
table has inlaid stone,8
nose of puppy,8
tire on fire truck,8
hinge for door,8
water in sand,8
mound for pitcher,8
hoof of pony,8
person married person,8
stair in building,8
monkey has hand,8
leaf on vegetable,8
tail on back of airplane,8
right leg of bear,8
front tire on bicycle,8
shell in sand,8
license plate with number,8
person on team,8
food in sauce,8
stair with railing,8
cat has right paw,8
sail boat on water,8
window of train car,8
bathroom sink in bathroom,8
handle of sink,8
train has head lights,8
tail belonging to plane,8
person has extended arm,8
boy has right eye,8
zebra has rear end,8
part of cheek,8
train with headlight,8
crust on pie,8
person has left elbow,8
window on front building,8
white clouds against blue sky,8
glove on mans hand,8
flower in pitcher,8
saddle on back of horse,8
tea bag in cup,8
wheel on back of skateboard,8
blinker on motorcycle,8
wave on sea,8
tire of suv,8
collar attached to shirt,8
trunk part of elephant,8
windshield on train front,8
food has topping,8
sun reflection on water,8
airplane has propellor,8
rim in tire,8
white clouds on blue sky,8
blue sky has white cloud,8
bull has fur,8
airplane with nose,8
puddle near road,8
beak on animal,8
bar in window,8
leg of brown horse,8
bus headlight on bus,8
deck on ship,8
tree has knot,8
passenger train has window,8
leg underneath bird,8
kid has mouth,8
fish has tail,8
person has index finger,8
part of zebra,8
front leg on zebra,8
ball on hand,8
tail of baby elephant,8
boat reflection on water,8
bear has left leg,8
person has sign,8
water above wave,8
plane wheel of plane,8
boundary line on tennis court,8
wave breaking in water,8
windshield on locomotive,8
window of redwhite train,8
knob on cooker,8
horn of ram,8
skateboard has back wheels,8
hair of guy,8
line has edge,8
letter in name,8
line on freeway,8
window of motorcycle,8
headboard near bed,8
bus has steering wheel,8
handle of racquet,8
window in apartment,8
jet engine on plane,8
neck of duck,8
patch made of grass,8
letter u on sign,8
frame above bed,8
person has blue eyes,8
cabinet made of wood,8
fence attached to post,8
windshield on motorbike,8
eye on guy,8
room has ceiling,8
lid on box,8
bookshelf in room,8
ear belonging to animal,8
eye belonging to animal,8
window front of building,8
building of stone,8
lady has blouse,8
leaf above tree,8
cat has front legs,8
bookshelf with shelf,8
part of stomach,8
plane has back wheel,8
stump of tree,8
powder sugar on donut,8
beak on head,8
seasoning on food,8
pole on tent,8
person has brown eyes,8
vehicle has tail light,8
orange with skin,8
trash in street,8
refrigerator has shelf,8
engine near wing,8
can has lid,8
truck has back tire,8
part of giraffe,8
sky with some cloud,8
body with eye,8
kite with string,8
bush has foliage,8
hair on female,8
plate on back of car,8
eye has eyelash,8
foot of parrot,8
line of road,8
racket has grip,8
blind attached to window,8
train car attached to train,8
wagon has left wheel,8
antelope has horn,8
balcony outside window,8
shoe lace on shoe,8
seat of bathroom,8
tire of cycle,8
person brown hair,8
zebra has pattern,8
elbow has part,8
crack appearing in sidewalk,8
cloud fill sky,8
letter with sign,8
wheel mounted on train,8
pony has leg,8
shelf in bookshelf,8
white wave in water,8
top of pineapple,8
street has sidewalk,8
fridge has freezer,8
foot of sheep,8
steering wheel in vehicle,8
bus wheel on bus,8
wing has spot,8
ceiling of room,8
bear has nail,8
cow has left ear,8
brick wall has brick,8
brick on roof,8
knob to cabinet,8
patch on shoulder,8
chest with drawer,8
arm belongs to person,8
bus with people,8
leg on goat,8
person has spectacle,8
garage has door,8
wheel on trolley,8
pizza has pizza,8
jacket with zipper,8
broccoli has broccoli,8
door has curtain,8
spot covering giraffe,8
tail light on taxi,8
line in center of road,8
part of track,8
rim of wheel,8
motorcycle has side mirror,8
ponytail on girl,8
light over train,8
door of vehicle,8
leg of peacock,8
small windows on plane,8
blossom on branch,8
windshield wiper on front window,8
beam on building,8
bus has side view mirror,8
tree covered with leaf,8
bus has rearview mirror,8
design printed on shirt,8
area with grass,8
door of van,8
tuft on tail,8
window on train engine,8
head belonging to girl,8
clock with white face,8
window built into vehicle,8
fruit with seeds on plate,8
paw of puppy,8
tire attached to bike,8
building in corner,8
garage with door,8
faucet on back of sink,8
car above train,8
window on outside of building,8
elephant has a large foot,8
horse has snout,8
laptop with keyboard,8
sweater has zipper,8
water near ground,8
floor on building,8
necktie near neck,8
jar has food,8
pizza with crust,8
leg of pant,8
body on bird,8
sign has person,8
kid with hair,8
this patch of grass,8
window on back of train,8
engine mounted under wing,8
tissue in tissue box,8
tennis shoe has lace,8
face has hair,8
skateboard has foot,8
window on blue bus,8
sky and cloud,8
hand with short nail,8
window on grey train,8
pole has bottom,8
rock of beach,8
trunk on car,8
train on wheel,8
bat in players hand,8
book sitting on book shelf,8
zebra with mane,8
apple on apple tree,8
brown horse has ear,8
bird wings on bird,8
button attached to cellphone,8
rear tire on bus,8
kitten has face,8
tail with tip,8
cloud scattered in sky,8
window in cabin,8
brown tree has leaf,8
crust in pizza,8
truck with wheel,8
windshield wipers on window,8
side window of bus,8
license plate on suv,8
licence plate on bus,8
cattle has ear,8
tall building has window,8
pole part of fence,8
rear window on bus,8
bird on bar,8
window on brown building,8
pole underneath sign,8
door leading to cabinet,8
train car behind train car,8
fence in photo,8
blue sky behind cloud,8
bear standing on leg,8
giraffes neck of giraffe,8
boat making wave,8
field filled with grass,8
door mounted on cabinet,8
tail belonging to cat,8
girl has right eye,8
shoreline on beach,8
light on back of train,8
knuckle on finger,8
mug with handle,8
finger has knuckle,8
fire truck has light,8
traffic light for train,8
pig with hoof,8
spoon with handle,8
limb on animal,8
headlight on pickup truck,8
person right arm,8
beak on goose,8
giraffes neck on giraffe,8
elephant foot of elephant,8
bird in flock,8
cloud i sky,8
tailgate on truck,8
pipe on car,8
leg on calf,8
wing belonging to bird,8
bus has head light,8
kitten has head,8
lake has reflection,7
valley under mountain,7
bottle contains water,7
snout of giraffe,7
rock along shore,7
cat closing eye,7
water of river,7
tire of motorbike,7
shower with door,7
headlight attached to train,7
line drawn on pavement,7
cow leg on cow,7
snout of cow,7
pocket has flap,7
trash on street,7
part of a glass window,7
part in hair,7
tire on back of bike,7
whisker on cat face,7
reflection from window,7
net on racket,7
giraffe has four legs,7
white whiskers on cat,7
ear belongs to cat,7
wiper on front window,7
surface has part,7
tire attached to bus,7
truck has breaklight,7
lower window built into train,7
drawer under desk,7
horse has tongue,7
jet has door,7
giraffe has lip,7
light reflected in mirror,7
index finger of person,7
headlight on bicycle,7
roman numeral printed on clock,7
eye on black cat,7
boat has hull,7
leg on duck,7
window on light house,7
fridge with magnet,7
foot belonging to bird,7
plaque hanging from wall,7
umbrella being held,7
lion has nose,7
male has face,7
book shelf full of book,7
tile above roof,7
hind leg of dog,7
stripe in zebra,7
cats nose on cat,7
brown leg on elephant,7
truck has rear tire,7
sheep has coat,7
pizza covered in cheese,7
elbow of arm,7
eagle has wing,7
flower has part,7
hand part of clock,7
sheep has neck,7
stripe painted on street,7
left ear on cat,7
bud of flower,7
window front building,7
branch on plant,7
toilet has seat cover,7
front window of airplane,7
tennis court has surface,7
hinge on door frame,7
blood on head,7
rearview mirror on car,7
black nose of zebra,7
train cars has window,7
face of people,7
motorcycle has rear tire,7
reflection in ocean,7
plane window on plane,7
handle above suitcase,7
line over road,7
tire on blue bus,7
horn of elephant,7
whisker of dog,7
knob on counter,7
fish in beak,7
person has on black,7
top of roof,7
wheel on object,7
hole in grass,7
knife has part,7
image on television,7
person has right shoulder,7
hoof of goat,7
window has door,7
glove worn by human,7
hub cap on tire,7
object has wheel,7
zebra has black tail,7
beak in water,7
water on ocean,7
rock along road,7
door leading to passenger train,7
chin has hair,7
cloud filling sky,7
train has front light,7
bus has back tire,7
display of laptop,7
license plate with letter,7
moss growing on ground,7
blind behind window,7
part of bird,7
sign has symbol,7
reflection from mirror,7
handle on brush,7
lid on toilet seat,7
door attached to cabinet,7
sign behind pole,7
girl has left leg,7
zebra has left front leg,7
window pane in door,7
wiper of windshield,7
home with roof,7
hand belonging to boy,7
engine has part,7
window installed on building,7
hoof on hoof,7
child riding elephant,7
doorway of bus,7
baby elephant has leg,7
vehicle has license plate,7
flower at end of stem,7
ear of donkey,7
skatebaord has wheel,7
sand in water,7
back wheel of bus,7
terminal at airport,7
door on train engine,7
ear part of bear,7
horse has right eye,7
part of mouth,7
roof of church,7
pole with seven signs attached to it,7
baby has teeth,7
window near blue train,7
tail of squirrel,7
front headlight on motorcycle,7
border near picture,7
door of garage,7
brown dog has ear,7
number printed on clock,7
tile on tile wall,7
stomach of cat,7
door near train car,7
snow on mountain top,7
cloud in blue sky in sky,7
peg on guitar,7
pole for fence,7
part of hoof,7
person has belly button,7
sunlight reflecting on water,7
girl has thumb,7
door on long train,7
window on flight,7
line on ball,7
water behind beach,7
bus with wheel,7
leg on people,7
stone in building,7
banana has brown spot,7
train engine has headlight,7
item on bookshelf,7
face belonging to clock,7
brick in house,7
berry in tree,7
lace tying shoe,7
tail on airliner,7
numeral attached to clock,7
go cart has wheel,7
wave from ocean,7
headlight on train front,7
word written on page,7
bear wearing coat,7
toe of shoe,7
door of train car,7
bus has doorway,7
telephone has cord,7
person gesturing with hand,7
cats nose of cat,7
hair of female,7
seat of bus,7
wall with brick,7
cap on water,7
cat has left leg,7
blade of fan,7
lady has lip,7
window with wiper,7
car has rear tire,7
windshield wiper on truck,7
clock has roman number,7
tire under plane,7
bike with tire,7
feather belonging to bird,7
street sign has lettering,7
helmet has part,7
car with license plate,7
passenger car has window,7
room has toilet,7
line painted on top,7
tree has thorn,7
drawer in bureau,7
net over court,7
hair of bear,7
cord on telephone,7
trunk of animal,7
toilet seat has hinge,7
cat with tail,7
lemon has seed,7
back tire on bus,7
layer belonging to cake,7
train has seat,7
dog with tail,7
layer in cake,7
lady has dark hair,7
horse has teeth,7
horse with ear,7
cucumber has seed,7
big paw on brown cat,7
wheel attached to cart,7
bus has rear wheel,7
door of bedroom,7
bison with horn,7
body has head,7
pitchers mound on field,7
leaf of banana,7
back of dog,7
sand near beach,7
kickstand on motorbike,7
head board of bed,7
elephant of trunk,7
red button on remote,7
horn on h head,7
cat has cat ear,7
person has two legs,7
leg in pant,7
leaf laying on grass,7
brick made of brick,7
bloom on plant,7
back window of bus,7
a building in city,7
zebra with mouth,7
window of large building,7
wheel of tractor,7
stomach of bird,7
fence made of pole,7
train has windshield wipers,7
laptop has mouse,7
side window of train,7
tree in leaf,7
eye of face,7
side window of vehicle,7
word on toilet bowl,7
tail of fish,7
peel on banana,7
left paw of cat,7
window of suv,7
plate on diamond,7
elephant tusk on elephant,7
airplane has back wing,7
motorcycle with wheel,7
engine mounted on plane,7
railing on staircase,7
leaf above plant,7
roman numberals on clock,7
hand on baseball bat,7
cement on road,7
line drawn on street,7
window for plane,7
paw of teddy bear,7
dog has brown eye,7
wheel under board,7
wave in dark water,7
ocean waves in water,7
light on passenger train,7
train engine on track,7
bear wears hat,7
tree near light,7
wing with engine,7
cockpit windows on airplane,7
fuselage of airplane,7
bike has kick stand,7
steering wheel of bus,7
vehicle has bumper,7
boy has right leg,7
zebra on leg,7
dump truck has tire,7
ear part of horse,7
shore of beach,7
trunk part of tree,7
bulb in light,7
eye lash of giraffe,7
bird on wing,7
stem on tomato,7
kitchen has stove,7
wave created by boat,7
handle on utensil,7
giraffe has giraffes head,7
office door on building,7
drawer on chest,7
candle with flame,7
kid has face,7
leaf has vein,7
grass covered field,7
grass in infield,7
person has kneecap,7
brick on far wall,7
bed with frame,7
nose on elephant,7
handle to toilet,7
clock on hand,7
bench with slat,7
dog has belly,7
keyboard attached to laptop,7
horse has front right leg,7
window of school bus,7
pole near ground,7
wheel in front of plane,7
aircraft has cockpit,7
toenail of elephant,7
plane has nose wheel,7
window on back of bus,7
window panel on building,7
cabinet has glass door,7
information sign on pole,7
airplane has blue tail,7
leaf under flower,7
petal in flower,7
airport has terminal,7
black cat has paw,7
leaf of stem,7
rear wheel on bus,7
leg in ocean,7
cloud high in sky,7
food in sandwich,7
roof of barn,7
blonde hair of person,7
shower curtain near toilet,7
neck on duck,7
key of laptop,7
propeller in front of airplane,7
skin of zebra,7
windscreen on motorcycle,7
button has key,7
palm on hand,7
leaf has tree,7
pine tree has needle,7
candy on plate,7
marble tile on wall,7
bird on beak,7
elephant with head,7
blue sky with no cloud,7
pigeon has wing,7
slat in bench,7
fire truck has headlight,7
person with eye glasses,7
chin on face,7
leaf between flower,7
car has number,7
strap of purse,7
head of female,7
numeral in clock,7
belly of giraffe,7
kite has handle,7
grass on soccer field,7
left ear on person,7
bench leg of bench,7
foot tucked under bird,7
tire under truck,7
egg has egg yolk,7
sign has letter o,7
part of chain,7
people in front of train,7
taillight on bus,7
reflection on lake,7
child watching elephant,7
foot of pigeon,7
dog has long hair,7
building has fence,7
elbow above head,7
handle to flush toilet,7
pane for window,7
hill behind grass,7
body on cat,7
table in house,7
curtain hanging next to window,7
orange has leaf,7
fireplace has mantel,7
bus with mirror,7
trunk in tree,7
part of some grass,7
wave on shoreline,7
table of wood,7
glass window behind bus,7
people has shoe,7
bristle attached to brush,7
reflection seen in mirror,7
cushion on armchair,7
tire on airport,7
spatula with handle,7
great blue heron has leg,7
giraffe with brown spots,7
food has crust,7
front tire of bicycle,7
eye of panda bear,7
motorbike has tire,7
tail lights on back of car,7
leaf on green tree,7
tire under bus,7
leg of body,7
table has stand,7
trunk in forest,7
lid attached to toilet,7
handle above toilet,7
bill of bird,7
leave on branch,7
boat with motor,7
finger with nail,7
window covered with blind,7
whisker on chin,7
ground made of grass,7
tile in photo,7
entrance into building,7
hand with thumb,7
whisker on kitten,7
button of shirt,7
flower in ground,7
pole made of wood,7
sofa with cushion,7
wall behind plant,7
faucet and handle,7
bird feathers of bird,7
headlight mounted on train,7
oven with knob,7
mouse on computer,7
wall made of white tile,7
toilet on bathroom,7
brown spot belonging to giraffe,7
guy has brown hair,7
stomach on giraffe,7
face with hair,7
giraffe long neck,7
flower growing on grass,7
person in brown,7
tile placed onto wall,7
butt of zebra,7
foot with toe,7
girl with long hair,7
link on chain,7
back legs of cow,7
tire on back of truck,7
clock has 8,7
section of fence,7
rock in soil,7
fur of zebra,7
kid has nose,7
line painted in road,7
ripple in middle water,7
wheel on suv,7
headlight of van,7
green grass patch,7
skin of onion,7
flower behind bear,7
girl with leg,7
middle of giraffes neck,7
fur on horse,7
doorway on wall,7
bus letters on bus,7
shoulder has strap,7
hoof belongs to horse,7
window on beige building,7
bottle has juice,7
flooring in room,7
body has nose,7
leg of female,7
windshield attached to train,7
tile along wall,7
roof on hut,7
airport has tower,7
glass jar has lid,7
people playing tennis,7
window side of bus,7
taillight on vehicle,7
hoof belonging to giraffe,7
lettering on stop sign,7
toenail on foot,7
butterfly has wing,7
chest on person,7
side mirror of bus,7
eye of baby elephant,7
clock has 1,7
clock has 12,7
bear with mouth,7
hoof of brown horse,7
bicycle tire on bicycle,7
rock behind wall,7
glass panel on building,7
house behind road,7
flower stem of flower,7
seat has back,7
moss on trunk,7
belly of animal,7
left ear of zebra,7
person wearing earbuds,7
rear of elephant,7
elbow on arm,7
gazelle has horn,7
cats ear on cat,7
person has group,7
wing tip of bird,7
light on semi truck,7
ear attached to person,7
letter on red sign,7
window belongs to bus,7
fur on brown cat,7
brown spot adorning giraffe,7
the sky cloudy,7
foot of skateboarder,7
mouth showing teeth,7
curtain near door,7
hand has pinky,7
headrest in car,7
airplane has flap,7
ear apart of zebra,7
antler on animal,7
glove on persons hand,7
person with knee,7
peak on roof,7
cycle has wheel,7
leg underneath person,7
headlight attached to bus,7
dial on clock,7
window on side of silver train,7
two signs on pole,7
cloud in front of sky,7
air has cloud,7
feather on parrot,7
light has bulb,7
keyboard on desktop,7
nose belonging to giraffe,7
wall with tile,7
building covered in window,7
windshield with wiper,7
rock above road,7
brick building has window,7
airplane has jet,7
horse has sock,7
trunk of branch,7
feather part of outfit,7
fuselage on plane,7
palm trees has trunk,7
mouse has wheel,7
building through window,7
door leading to car,7
stone on house,7
nose section of aircraft,7
wire above bus,7
cheese on pizza pie,7
person wears necktie,7
lamp on bus,7
sheep has knee,7
grass on soil,7
shower head in bathroom,7
bear has front legs,7
headlight for train,7
ear part of person,7
whisker on cats face,7
elephant has eyelash,7
umbrella with flower,7
motor of boat,7
room has table,7
motorcycle with mirror,7
face on head,7
file cabinet has drawer,7
left ear of horse,7
flame on stove,7
adult elephant has leg,7
left ear on dog,7
nose part of person,7
nostril on zebra,7
plant growing in garden,7
feather on chicken,7
blade on grass,7
part of book,7
window on passenger plane,7
back legs of sheep,7
edge of handle,7
curtain for window,7
logo on tee shirt,7
concrete has crack,7
elephant foot on elephant,7
brush with handle,7
window of automobile,7
toe attached to foot,7
tree with lots of leaf,7
green vegetable on food,7
arm near boy,7
drawer pull on drawer,7
shoreline of water,7
eye of black cat,7
ripple wave in water,7
leaf hanging from tree branch,7
tire under car,7
boat above harbor,7
horn on cows head,7
knob controls oven,7
tinted windows on bus,7
baby elephant has eye,7
headlight on train engine,7
wall part of building,7
person has eye brow,7
claw of animal,7
ear of body,7
nose belonging to bear,7
tree has white flowers,6
shoulder has part,6
person wearing earings,6
train track near train,6
line above pavement,6
mama bear has ear,6
giraffe has coat,6
drivers seat on motorcycle,6
giraffe leg on giraffe,6
drawer under table,6
pine needles on tree,6
storm clouds in sky,6
claw on foot,6
bus has rear view mirror,6
brick above wall,6
balcony on back of building,6
black stripes on zebra,6
valley between mountain,6
wire hanging from wall,6
shelf filled with book,6
mane above neck,6
pane in wall,6
seagull has tail,6
head belonging to horse,6
helmet attached to head,6
ear on black cat,6
mirror near bike,6
field made of grass,6
letter and number,6
headstone in cemetery,6
wheel on tricycle,6
mustard above hotdog,6
curtain hanging by window,6
face on guy,6
television with screen,6
neck on dog,6
sidecar on motorcycle,6
pipe running to toilet,6
cat tail of cat,6
wheel on skate,6
right eye on cat,6
blade of propeller,6
leg with foot,6
door on subway train,6
window on subway train,6
tailgate of truck,6
window on firetruck,6
keyboard has space bar,6
bread has cheese,6
ear on baby elephant,6
eyeglass in photo,6
window on train cars,6
cows head on cow,6
cat has back legs,6
terrace on building,6
clock using roman numerals,6
patch of vegetation,6
arm at side,6
shoe has toe,6
grass in picture,6
front wheel on cart,6
bicycle has chain,6
gentleman has hair,6
window on amtrak train,6
player has left hand,6
fence near home,6
car has windshield wipers,6
left arm of boy,6
ponytail on head,6
wave rolling in ocean,6
bus has tail light,6
mast attached to boat,6
taillight on bike,6
person in legging,6
horn on wildebeest,6
sheep has part,6
paw of black dog,6
pond of water,6
elbow belonging to person,6
leaf near banana,6
fence has wooden post,6
person with back,6
body on zebra,6
intersection of street,6
ocean water with wave,6
sign holder on pole,6
cage has door,6
sandwich has crust,6
goalkeeper glove has finger,6
pelican has wing,6
cloud covering sun,6
string to kite,6
roman numeral visible on clock,6
door between window,6
text on street sign,6
car on train tracks,6
headlight in train,6
deer has head,6
toilet seat has cover,6
front leg on elephant,6
head of owl,6
reflection on shore,6
train has on light,6
hoof on brown horse,6
person has raised arm,6
person with elbow,6
leg wearing jean,6
lake has water,6
white clouds with sky,6
frame on bed,6
girl with head,6
shoulder belonging to person,6
front legs on dog,6
window in aeroplane,6
chimney above home,6
forehead of girl,6
frame between window,6
bottle has mouth,6
pupil of eye,6
nose with nostril,6
white writing on sign,6
tile on tiled wall,6
window of aeroplane,6
shirt on human,6
jar has label,6
cabinet door for cabinet,6
tongue on cow,6
body of mans body,6
black dog has eye,6
whisker on face of cat,6
pony has eye,6
roman numeral painted on clock,6
front windshield on train,6
snow on mountain range,6
tail belonging to dog,6
leg of human,6
boot has heel,6
bear covered in fur,6
collar on dogs neck,6
